procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30245164 220856 30873340    0    0     0     0 3770 4328  6  0 94  0  0
 1  0      0 30244912 220864 30873348    0    0     0    20 4037 4648  6  0 94  0  0
 1  0      0 30236720 220872 30873344    0    0     0   116 3985 4660  6  0 94  0  0
 1  0      0 30232372 220872 30873360    0    0     0     0 3834 4513  6  0 94  0  0
 1  0      0 30232372 220872 30873364    0    0     0     0 3788 4351  6  0 94  0  0
 1  0      0 30232372 220872 30873368    0    0     0     0 3812 4599  6  0 94  0  0
 1  0      0 30232372 220872 30873372    0    0     0     0 4108 4539  6  0 94  0  0
 1  0      0 30232148 220880 30873368    0    0     0    16 3957 5106  7  0 93  0  0
 1  0      0 30228052 220880 30873416    0    0     0    20 3783 4370  6  0 94  0  0
 1  0      0 30228052 220880 30873416    0    0     0     0 3885 4410  6  0 94  0  0
 1  0      0 30228052 220880 30873424    0    0     0     0 3957 4641  6  0 94  0  0
 1  0      0 30227828 220880 30873448    0    0     0     0 3875 5448  6  0 94  0  0
 1  0      0 30227828 220888 30873448    0    0     0    16 3742 4159  6  0 94  0  0
 1  0      0 30227828 220888 30873460    0    0     0   100 3964 4268  6  0 94  0  0
 1  0      0 30227072 220888 30873464    0    0     0     0 3953 4455  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30226316 220888 30873472    0    0     0     0 3891 4445  6  0 94  0  0
 1  0      0 30226064 220896 30873468    0    0     0    12 3763 4489  6  0 94  0  0
 1  0      0 30226064 220904 30873504    0    0     0    60 3804 5532  7  0 93  0  0
 1  0      0 30226064 220904 30873516    0    0     0     0 3657 4503  6  0 94  0  0
 1  0      0 30221968 220904 30873524    0    0     0    80 3655 4543  6  0 94  0  0
 1  0      0 30221968 220904 30873528    0    0     0     0 3632 4553  6  0 94  0  0
 1  0      0 30217872 220904 30873536    0    0     0     0 3712 4647  6  0 94  0  0
 1  0      0 30217872 220912 30873540    0    0     0    40 3703 4843  6  0 94  0  0
 1  0      0 30217872 220912 30873552    0    0     0     0 3517 4834  6  0 94  0  0
 1  0      0 30217872 220912 30873552    0    0     0     0 3554 4413  6  0 94  0  0
 1  0      0 30217872 220912 30873560    0    0     0    44 3640 4534  6  0 94  0  0
 1  0      0 30205584 220912 30873584    0    0     0     0 3607 4404  6  0 94  0  0
 1  0      0 30205584 220920 30873580    0    0     0    32 3796 5414  7  0 93  0  0
 1  0      0 30205584 220920 30873624    0    0     0     0 3734 4565  6  0 94  0  0
 1  0      0 30205584 220920 30873632    0    0     0     0 3739 4686  6  0 94  0  0
 1  0      0 30205584 220920 30873640    0    0     0     0 3788 4581  6  0 94  0  0
 1  0      0 30201488 220928 30873644    0    0     0    92 3659 4724  6  0 94  0  0
